Company,CSR_Focus
Tata CSR,education rural development healthcare women empowerment
Infosys Foundation,digital literacy education skill development rural empowerment
Wipro Foundation,education environment sustainability skill development
HDFC Parivartan,financial inclusion women empowerment rural development education
Reliance Foundation,healthcare rural development disaster relief education
Adani Foundation,education healthcare rural development infrastructure
ICICI Foundation,education skill development healthcare rural empowerment
Axis Bank CSR,financial literacy education women empowerment
ITC Limited CSR,sustainability environment education rural development
Mahindra Rise,rural development skill development education healthcare
Google India CSR,digital transformation education skill development
Microsoft Philanthropies India,digital literacy education AI skill development rural training
Amazon India CSR,digital inclusion logistics rural development education
Flipkart Foundation,e-commerce empowerment MSME rural development education
Cognizant Outreach,IT training education skill development
Accenture India CSR,technology education digital transformation skill development
Capgemini India CSR,engineering education skill development rural programs
Tech Mahindra Foundation,skill development vocational training education
L&T CSR,infrastructure rural development education healthcare
Bajaj Finserv CSR,financial literacy MSME women empowerment education
Maruti Suzuki CSR,road safety education rural development healthcare
HCL Foundation,education digital literacy skill development rural empowerment
Dell India CSR,technology education digital skills training
Samsung India CSR,education STEM skill development digital literacy
Intel India CSR,technology education innovation skill development
Vodafone Idea Foundation,digital inclusion education rural empowerment
PepsiCo Foundation India,nutrition health education rural development
Coca-Cola India CSR,health sanitation rural development education
Nestle India CSR,nutrition rural health education development
Oracle India CSR,technology education innovation skill development
